ENSG00000153363
ENSG00000180739
ENSG00000115641
ENSG00000100453
ENSG00000105374
ENSG00000125726
ENSG00000159674
ENSG00000158321
ENSG00000117586
ENSG00000205810
ENSG00000170855
ENSG00000172543
ENSG00000275737
ENSG00000197540

ENSG00000135677
ENSG00000134545
ENSG00000256664
ENSG00000103335
ENSG00000073861
ENSG00000164237
ENSG00000180644
ENSG00000185088
ENSG00000107796
ENSG00000134545

ENSG00000274233
ENSG00000166997
ENSG00000088179
ENSG00000205336

ENSG00000275302
ENSG00000171596
ENSG00000115523
ENSG00000174799
ENSG00000156475
ENSG00000136997
ENSG00000255819
ENSG00000205809
ENSG00000166863
ENSG00000116717
ENSG00000171476
ENSG00000169583

ENSG00000124507
ENSG00000124256
ENSG00000132646
ENSG00000145632

ENSG00000135679
ENSG00000136213
ENSG00000110777
ENSG00000154040
ENSG00000156787
ENSG00000198574
ENSG00000148019

ENSG00000148219
ENSG00000117560
ENSG00000161513

ENSG00000168229
ENSG00000164483

ENSG00000169129
ENSG00000168329
ENSG00000137441
ENSG00000185697
ENSG00000125656
ENSG00000099814
ENSG00000284347
ENSG00000007264
ENSG00000143185
ENSG00000167799
ENSG00000134574
ENSG00000167992
ENSG00000211689
ENSG00000174307
ENSG00000110876
ENSG00000167196
ENSG00000108370
ENSG00000077984
ENSG00000112697
ENSG00000001561
ENSG00000177943
ENSG00000266208
ENSG00000284244
ENSG00000154640
ENSG00000181847
ENSG00000054148
ENSG00000173473
ENSG00000185187
ENSG00000198648
ENSG00000227678
ENSG00000111796
ENSG00000005379
ENSG00000145349
ENSG00000257365
ENSG00000214009
ENSG00000112697
ENSG00000054148
ENSG00000263366
ENSG00000100385
ENSG00000214753
ENSG00000133574
ENSG00000100060
ENSG00000137441
ENSG00000135439
ENSG00000188157
ENSG00000136950
ENSG00000185010
ENSG00000129968
ENSG00000160991
ENSG00000143184
ENSG00000101096

ENSG00000265148
ENSG00000224025
ENSG00000124762

ENSG00000100811
ENSG00000135679
ENSG00000119714
ENSG00000167483
ENSG00000124942
ENSG00000163508
ENSG00000159733
ENSG00000282866
ENSG00000030419
ENSG00000030419
ENSG00000150045
ENSG00000153563

ENSG00000240204
ENSG00000100298

ENSG00000259834
ENSG00000183723
ENSG00000247982
